2026-05-16 16:09:50 | INFO     | training.callbacks | Callbacks for 'cnn_baseline':
2026-05-16 16:09:50 | INFO     | training.callbacks |   Checkpoint : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\saved_models\cnn_baseline_best.keras
2026-05-16 16:09:50 | INFO     | training.callbacks |   CSV log    : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\cnn_baseline_training_log.csv
2026-05-16 16:09:50 | INFO     | training.callbacks |   TensorBoard: C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\tensorboard\cnn_baseline
2026-05-16 16:18:21 | INFO     | training.callbacks | Callbacks for 'cnn_baseline':
2026-05-16 16:18:21 | INFO     | training.callbacks |   Checkpoint : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\saved_models\cnn_baseline_best.keras
2026-05-16 16:18:21 | INFO     | training.callbacks |   CSV log    : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\cnn_baseline_training_log.csv
2026-05-16 16:18:21 | INFO     | training.callbacks |   TensorBoard: C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\tensorboard\cnn_baseline
2026-05-18 16:15:09 | INFO     | training.callbacks | Callbacks for 'cnn_baseline':
2026-05-18 16:15:09 | INFO     | training.callbacks |   Checkpoint : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\saved_models\cnn_baseline_best.keras
2026-05-18 16:15:09 | INFO     | training.callbacks |   CSV log    : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\cnn_baseline_training_log.csv
2026-05-18 16:15:09 | INFO     | training.callbacks |   TensorBoard: C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\tensorboard\cnn_baseline
2026-05-18 19:47:26 | INFO     | training.callbacks | Callbacks for 'cnn_baseline':
2026-05-18 19:47:26 | INFO     | training.callbacks |   Checkpoint : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\saved_models\cnn_baseline_best.keras
2026-05-18 19:47:26 | INFO     | training.callbacks |   CSV log    : C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\cnn_baseline_training_log.csv
2026-05-18 19:47:26 | INFO     | training.callbacks |   TensorBoard: C:\Users\Sanjana V\OneDrive\Desktop\plant-disease-project\plant_disease_detection\results\tensorboard\cnn_baseline
